Batch_ID,Hardness,Friability,Dissolution_Rate
T001,92.46575765232575,0.4830328745153728,94.16417646413042
T002,53.648047472789806,0.9092888473276414,92.84741532418442
T003,69.76678025473696,0.4483972539506308,72.23872277031408
T004,69.8300983288164,0.4425782645236219,77.09544923739291
T005,65.50167889890673,0.8178097692580043,88.91947715603347
T006,72.84571317968752,0.7867782083250325,83.99790858426331
T007,96.15486923340546,0.7761618079370587,85.32903570240438
T008,81.35917636822799,0.9893396093854799,73.55894771332405
T009,59.06832553225903,0.3868661317371882,74.89235152360105
T010,57.48041817292536,0.3022382448684658,72.71181628177837
T011,85.98961940448686,0.561545702783129,94.78037836579537
T012,75.65073189114439,0.7642037012310381,72.9548496170859
T013,67.88812458145904,0.64642536581411,85.05778839994929
T014,77.98461662457619,0.7089723122154075,85.2603773903915
T015,62.49516130037303,0.9844205691157845,89.11168121205667
T016,53.85455873143094,0.5699186628349122,70.89804136394973
T017,88.04677167825852,0.8408576513692555,91.01023861471278
T018,53.377350033217255,0.6682522768149181,75.39618745754773
T019,88.15132201895855,0.8714077666541277,81.7928529448236
T020,80.92636328449194,0.4495045469376189,90.01382433300722
T021,96.24671167310927,0.4077075053208429,86.00163549721552
T022,63.05299209327124,0.6443976638688077,90.38512912940804
T023,63.24544190979466,0.4498400067658993,88.12430077639932
T024,54.824867953897424,0.8501438518822498,76.29079914899411
T025,50.05807136940593,0.9888274625838355,96.07108630915955
T026,67.40481606806749,0.40448854355308883,97.08492966344137
T027,71.5454267359078,0.27367204726520794,97.49029424025812
T028,54.38055062123026,0.16306690202430013,74.19232889427153
T029,98.58949893747085,0.9309288699161568,87.82998026499685
T030,85.90535820047793,0.5225529927676992,85.33536434793743
T031,67.5687645330557,0.7762829334443873,85.65626092321037
T032,93.61674966672777,0.6528440901703022,98.81597505915971
T033,88.37824022673128,0.4084260700913751,70.31664512664513
T034,70.56738534347653,0.182147740052996,94.0463732683419
T035,64.21208469483105,0.2296577887710148,98.21731165642471
T036,64.91930372614655,0.15681865775605855,96.45834571498965
T037,94.10802016632653,0.7890211452215457,98.83934344397811
T038,67.29504124568778,0.6655471597145469,82.19358348973202
T039,98.49452801178688,0.8062455147750314,76.28383455893723
T040,77.24895192180793,0.8134879214073213,85.76498295520067
T041,75.04846951416411,0.8990098370386389,87.99491848854998
T042,89.214910264589,0.6887817663704605,95.99729357113175
T043,76.88691062388318,0.1501489208308154,94.27636603595249
T044,77.44745998422457,0.9487419262102968,86.37937146899625
T045,94.64470511629423,0.7316656104269312,74.51036665678771
T046,57.30242404665479,0.1089850406416004,96.34502363568019
T047,59.21153646901756,0.7777624796790599,81.11530132100023
T048,84.41304845966997,0.33738620979602374,96.21619077535551
T049,50.49903266046752,0.7575895229268019,91.7965403048102
T050,92.08027012659589,0.6225479544647656,77.61129791090815
T051,61.24639370429071,0.2886878973587087,86.08600080068972
T052,72.04344537661758,0.9102528792444339,76.1370042214785
T053,61.41857007531074,0.1540398114088543,79.87117364285378
T054,80.78671946157507,0.27634061568855384,79.27031479659139
T055,83.39735972279408,0.9497441306142685,90.16597727127088
T056,81.34998682776798,0.8373220897249817,78.68533034333238
T057,63.51564035049759,0.7670563187863894,79.18260368317905
T058,50.057598703860506,0.7964640142193683,92.50512838949211
T059,68.66418060583202,0.4061940146761748,84.72118609568088
T060,76.91072096382524,0.23280306425974545,91.2767030432789
