Batch_ID,Material_A_Quantity,Material_B_Quantity,Process_Duration_Hours
T001,250.82978824366555,241.41674714875688,15.398245668752622
T002,222.15146562047045,162.66881198397317,23.749292897650637
T003,256.613441769362,177.9780389553854,17.102156603728137
T004,468.767939532693,105.63792574389853,18.102943444570123
T005,227.0145358477782,139.7361457853414,10.134997451196902
T006,377.93982772839115,223.0607647732628,12.257130547178726
T007,300.0814462129291,93.0782313192477,10.66696688279795
T008,166.82676066900623,96.67019723252386,16.143519516377246
T009,477.3296546140552,239.46365110741047,12.021271460283272
T010,235.16749181898194,209.09936193054463,20.334730028468805
T011,405.13355675066106,223.570742992963,17.851257325538604
T012,101.48372831792689,85.47867424186848,17.05876666452479
T013,130.9577716780771,109.41495815333657,12.642665059396903
T014,381.6150793249413,184.8147889121195,20.898182521826943
T015,285.20950853941395,61.8395540982412,23.25705050602491
T016,303.06215478142906,168.90798018553176,9.132703692338925
T017,270.8375132383787,198.27332502751764,13.633473780906305
T018,278.7659320170528,185.38554269394695,12.59362260261446
T019,208.0124000573511,242.9767239534971,16.06445222374478
T020,214.41546191803886,96.77404870159268,10.6338614181596
T021,237.4028253820212,124.50620429155389,11.980470545264696
T022,339.97200880249693,67.4946976668944,20.721737129105655
T023,259.7212319940242,206.66813043132376,15.182022145779467
T024,305.6640623802816,130.18437059545715,23.91388444424146
T025,185.0846944627651,178.27329413703012,22.108698777893757
T026,175.13017416395002,242.4714752570695,12.098952999038206
T027,461.50553764035664,156.36225120285508,10.716231827917438
T028,117.74191763966209,149.59638494129925,11.725237207540566
T029,106.51908620087723,248.27407843927924,23.11478675096088
T030,469.33729837784836,158.13109956448022,18.61271045988162
T031,144.14691193050615,224.78916847869402,22.746760225816885
T032,458.48569603865286,203.52948434471963,9.47529471235448
T033,431.6728834014712,170.26175979026567,18.100830945137385
T034,367.9556270576241,152.64603336175747,8.301516437150433
T035,409.46234783438126,188.72884859743252,15.929433195114072
T036,117.18802167657793,226.3583582162791,18.285047858846845
T037,268.0521964818223,198.22476572604734,14.549181740345334
T038,161.2885879195856,242.87341547898228,11.761084519111844
T039,115.33330951451495,166.55708428913613,13.803640414410037
T040,393.50142862554696,132.87515097357124,10.594263586051008
T041,375.24615920182987,64.12727412427101,16.64153727411512
T042,258.10889091818314,97.99105584931064,22.666142588130178
T043,110.68278487859091,205.14710188991324,22.82205689719971
T044,281.5921199780522,237.66856154688324,9.318046160132965
T045,295.3823115863405,181.05199520958143,18.730451700107295
T046,177.19971283554742,222.98586628141638,14.264779495178352
T047,416.54658887475136,78.10749060162587,14.05113056877978
T048,178.8882607081248,229.84940402025308,16.885556946919586
T049,282.9304619671273,167.91364311232525,18.83149538312314
T050,111.89159175669872,73.98334963809853,20.765800635142696
T051,128.26180469709678,200.95352890775868,20.441880071199545
T052,118.12728616209442,128.90125036407886,20.253130850872434
T053,269.8934327978011,66.83361841481351,11.263383092223044
T054,328.2457289230836,219.12056983764617,14.952286400873154
T055,324.8801596278853,60.69812130860504,23.96067664108191
T056,196.56111024186282,74.92878443202848,17.728677568899393
T057,187.32656721763726,67.88774829883928,10.809392799067416
T058,302.5931832676556,179.81262378206833,19.405124175781513
T059,247.25180201494098,249.1778911564671,11.980437708137158
T060,140.75823918121023,61.2158716060804,12.498869520837099
